City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2
Mumbai,01-Jan-15,36.43,58.88,7.5,19.16,27.38,11.86,0.71,7.36
Mumbai,02-Jan-15,36.43,58.88,7.5,19.16,26.2,11.86,0.71,7.36
Mumbai,03-Jan-15,36.43,58.88,7.5,19.16,26.04,11.86,0.71,7.36
Mumbai,04-Jan-15,36.43,58.88,7.5,19.16,25.97,11.86,0.71,7.36
Mumbai,05-Jan-15,36.43,58.88,7.5,19.16,25.18,11.86,0.71,7.36
Mumbai,06-Jan-15,36.43,58.88,7.5,19.16,26.41,11.86,0.71,7.36
Mumbai,07-Jan-15,36.43,58.88,7.5,19.16,27.08,11.86,0.71,7.36
Mumbai,08-Jan-15,36.43,58.88,7.5,19.16,27.48,11.86,0.71,7.36
Mumbai,09-Jan-15,36.43,58.88,7.5,19.16,27.22,11.86,0.71,7.36
Mumbai,10-Jan-15,36.43,58.88,7.5,19.16,28.03,11.86,0.71,7.36
Mumbai,11-Jan-15,36.43,58.88,7.5,19.16,27.57,11.86,0.71,7.36
Mumbai,12-Jan-15,36.43,58.88,7.5,19.16,28.44,11.86,0.71,7.36
Mumbai,13-Jan-15,36.43,58.88,7.5,19.16,29.15,11.86,0.71,7.36
Mumbai,14-Jan-15,36.43,58.88,7.5,19.16,28.59,11.86,0.71,7.36
Mumbai,15-Jan-15,36.43,58.88,7.5,19.16,27.83,11.86,0.71,7.36
Mumbai,16-Jan-15,36.43,58.88,7.5,19.16,27.1,11.86,0.71,7.36
Mumbai,17-Jan-15,36.43,58.88,7.5,19.16,27.21,11.86,0.71,7.36
Mumbai,18-Jan-15,36.43,58.88,7.5,19.16,27.89,11.86,0.71,7.36
Mumbai,19-Jan-15,36.43,58.88,7.5,19.16,26.78,11.86,0.71,7.36
Mumbai,20-Jan-15,36.43,58.88,7.5,19.16,25.39,11.86,0.71,7.36
Mumbai,21-Jan-15,36.43,58.88,7.5,19.16,25.04,11.86,0.71,7.36
Mumbai,22-Jan-15,36.43,58.88,7.5,19.16,24.28,11.86,0.71,7.36
Mumbai,23-Jan-15,36.43,58.88,7.5,19.16,26.51,11.86,0.71,7.36
Mumbai,24-Jan-15,36.43,58.88,7.5,19.16,26.59,11.86,0.71,7.36
Mumbai,25-Jan-15,36.43,58.88,7.5,19.16,26.27,11.86,0.71,7.36
Mumbai,26-Jan-15,36.43,58.88,7.5,19.16,26.86,11.86,0.71,7.36
Mumbai,27-Jan-15,36.43,58.88,7.5,19.16,27.26,11.86,0.71,7.36
Mumbai,28-Jan-15,36.43,58.88,7.5,19.16,26.45,11.86,0.71,7.36
Mumbai,29-Jan-15,36.43,58.88,7.5,19.16,26.3,11.86,0.71,7.36
