Question,Answer
"Compare SO2 levels between Jaipur and Visakhapatnam on 26-May, 19.","On 26-May-19, SO2 level was 10.56 in Jaipur and 7.1 in Visakhapatnam."
"Which city had the highest NOx level on 24-May, 15?",The highest NOx level on 24-May-15 was in Hyderabad at 28.05.
"Where was the NOx level highest on 05-Nov, 15?",The highest NOx level on 05-Nov-15 was in Hyderabad at 6.21.
"Compare PM10 levels between Thiruvananthapuram and Gurugram on 28-Jun, 17.","On 28-Jun-17, PM10 level was 31.38 in Thiruvananthapuram and 58.88 in Gurugram."
"Compare NOx levels between Amaravati and Hyderabad on 23-Jun, 19.","On 23-Jun-19, NOx level was 13.66 in Amaravati and 12.24 in Hyderabad."
"Compare SO2 levels between Shillong and Aizawl on 22-May, 17.",No data available for this date and city.
"Shillong, CO, 01-Jul, 17",No data available for this date and city.
"Where was the NO level highest on 04-Jul, 15?",The highest NO level on 04-Jul-15 was in Patna at 14.19.
"Lucknow, NO, 03-Sep, 17",The NO level in Lucknow on 03-Sep-17 was 8.26.
"Which city had the highest NO level on 06-Feb, 15?",The highest NO level on 06-Feb-15 was in Mumbai at 7.5.
"Which city had the highest NH3 level on 10-Dec, 16?",The highest NH3 level on 10-Dec-16 was in Bengaluru at 24.0.
"Compare PM10 levels between Chennai and Delhi on 06-Apr, 15.",No data available for this date and city.
"Where was the PM10 level highest on 22-Jan, 20?",The highest PM10 level on 22-Jan-20 was in Bhopal at 142.79.
"Which city had the highest NO level on 30-Nov, 16?",The highest NO level on 30-Nov-16 was in Bengaluru at 9.74.
"Compare NOx levels between Jorapokhar and Hyderabad on 04-Jun, 20.",No data available for this date and city.
"Where was the NO2 level highest on 04-Jan, 18?",The highest NO2 level on 04-Jan-18 was in Amaravati at 53.79.
"Chandigarh, PM10, 08-Oct, 15",No data available for this date and city.
"Which city had the highest NO2 level on 18-May, 18?",The highest NO2 level on 18-May-18 was in Kolkata at 38.34.
"Compare CO levels between Kolkata and Shillong on 11-Dec, 18.",No data available for this date and city.
"Compare NOx levels between Patna and Lucknow on 07-Jan, 16.",No data available for this date and city.
"Compare NH3 levels between Patna and Amaravati on 27-Jan, 19.",No data available for this date and city.
"Compare PM2.5 levels between Visakhapatnam and Amaravati on 24-Jul, 16.",No data available for this date and city.
"Compare PM2.5 levels between Jorapokhar and Amritsar on 21-Apr, 20.",No data available for this date and city.
"Patna, NO2, 04-Apr, 17",The NO2 level in Patna on 04-Apr-17 was 3.25.
"Delhi, NO, 07-Jun, 19",The NO level in Delhi on 07-Jun-19 was 14.19.
"Where was the CO level highest on 18-Apr, 15?",The highest CO level on 18-Apr-15 was in Lucknow at 1.63.
"Chandigarh, NO, 04-May, 16",No data available for this date and city.
"Shillong, NO2, 28-Apr, 19",No data available for this date and city.
"Lucknow, NOx, 20-May, 20",The NOx level in Lucknow on 20-May-20 was 15.16.
"Chandigarh, NH3, 11-Jun, 19",No data available for this date and city.
"Compare NO levels between Hyderabad and Chennai on 01-Apr, 19.","On 01-Apr-19, NO level was 5.39 in Hyderabad and 6.55 in Chennai."
"Compare NOx levels between Lucknow and Delhi on 20-Feb, 20.",No data available for this date and city.
"Compare PM10 levels between Patna and Lucknow on 05-Sep, 18.",No data available for this date and city.
"Which city had the highest NH3 level on 16-Feb, 20?",The highest NH3 level on 16-Feb-20 was in Chennai at 42.36.
